0;1';91;
1;1'';110;
2;10;70;
3;11;68;
4;12Me;65,66,67;
5;13;58;
6;2;125;
7;2''A;118,117;# only in Ref.
8;2''B;118,117;# only in Ref.
9;2Me;126,127,128;
10;3;109;
11;3';98;
12;3''Me;121,119,120;
13;3''OMe;114,115,116;
14;4;108;
15;4'';112;
16;4Me;129,130,131;
17;5;90;
18;5';92;
19;5'';111;
20;5''Me;122,123,124;
21;6Me;88,89,87;
22;7B;84,85;
23;8;80;
24;8Me;81,82,83;
25;16A;72,71;# not clear from the paper
26;16B;72,71;# not clear from the paper
27;17;74,73;
