1;43;
2;42;
3;41;
6;44;
8';40;
8'';39;
10';38;
10'';37;
11;36;
12;59;
15';45;
15'';46;
16;47;
21;48;
24;49;
25';50;
25';51;
25'';50;
25'';51;
26';52;
26';53;
26'';52;
26'';53;
27';54;
27';55;
27'';54;
27'';55;
31;56,57,58;#special
33;33,34,35;#special
