i_conformer,i_atom,charge
0,0,0.1550914188034188
0,1,-0.7346085811965812
0,2,0.1502914188034188
0,3,0.15979141880341882
0,4,-0.4467085811965812
0,5,0.15979141880341882
0,6,0.1502914188034188
0,7,-0.3974085811965812
0,8,0.3177914188034188
0,9,-0.17890858119658118
0,10,0.14209141880341883
0,11,-0.4691085811965812
0,12,0.08299141880341881
0,13,-0.2846085811965812
0,14,0.5936914188034188
0,15,-0.5311085811965812
0,16,0.23159141880341882
0,17,-0.11810858119658119
0,18,-0.3159085811965812
0,19,0.056091418803418815
0,20,-0.2772085811965812
0,21,0.20329141880341883
0,22,-0.4226085811965812
0,23,0.11869141880341881
0,24,-0.0927085811965812
0,25,-0.0811085811965812
0,26,0.14309141880341883
0,27,-0.4449085811965812
0,28,0.6380914188034188
0,29,-0.1511085811965812
0,30,-0.5490085811965812
0,31,-0.10170858119658119
0,32,-0.09410858119658119
0,33,0.15309141880341884
0,34,-0.6268085811965812
0,35,-0.0937085811965812
0,36,-0.10410858119658119
0,37,0.16509141880341882
0,38,-0.6098085811965812
0,39,-0.07450858119658119
0,40,-0.0951085811965812
0,41,-0.09620858119658118
0,42,-0.2030085811965812
0,43,-0.07500858119658119
0,44,-0.18040858119658118
0,45,-0.05690858119658118
0,46,0.6602914188034188
0,47,-0.5781085811965812
0,48,-0.4431085811965812
0,49,-0.026408581196581186
0,50,0.14909141880341883
0,51,-0.5401085811965812
0,52,-0.12900858119658118
0,53,0.23209141880341883
0,54,-0.4861085811965812
0,55,-0.14730858119658116
0,56,-0.03480858119658118
0,57,0.21009141880341883
0,58,-0.2879085811965812
0,59,0.03435841880341882
0,60,0.03435841880341882
0,61,0.03435841880341882
0,62,0.05669141880341882
0,63,0.05669141880341882
0,64,0.060691418803418815
0,65,0.060691418803418815
0,66,0.060691418803418815
0,67,0.060691418803418815
0,68,0.05669141880341882
0,69,0.05669141880341882
0,70,-0.0022085811965811843
0,71,0.4309914188034188
0,72,0.0670244188034188
0,73,0.0670244188034188
0,74,0.0670244188034188
0,75,0.18699141880341882
0,76,0.13499141880341883
0,77,0.061691418803418815
0,78,0.03369141880341882
0,79,0.03369141880341882
0,80,0.03369141880341882
0,81,0.08469141880341881
0,82,0.04035841880341882
0,83,0.04035841880341882
0,84,0.04035841880341882
0,85,0.0826914188034188
0,86,0.07569141880341881
0,87,0.07569141880341881
0,88,0.07569141880341881
0,89,0.05569141880341882
0,90,0.044358418803418814
0,91,0.044358418803418814
0,92,0.044358418803418814
0,93,0.04969141880341882
0,94,0.4149914188034188
0,95,0.07769141880341882
0,96,0.045358418803418815
0,97,0.045358418803418815
0,98,0.045358418803418815
0,99,0.06869141880341881
0,100,0.4209914188034188
0,101,0.07769141880341882
0,102,0.037358418803418815
0,103,0.037358418803418815
0,104,0.037358418803418815
0,105,0.14599141880341882
0,106,0.12499141880341881
0,107,0.13599141880341883
0,108,0.053024418803418814
0,109,0.053024418803418814
0,110,0.053024418803418814
0,111,0.3024914188034188
0,112,0.4659914188034188
0,113,0.4599914188034188
0,114,0.054358418803418816
0,115,0.054358418803418816
0,116,0.054358418803418816
1,0,0.1530145641025641
1,1,-0.723685435897436
1,2,0.13871456410256408
1,3,0.15021456410256406
1,4,-0.4397854358974359
1,5,0.15021456410256406
1,6,0.13871456410256408
1,7,-0.4244854358974359
1,8,0.3647145641025641
1,9,-0.14198543589743592
1,10,0.13801456410256407
1,11,-0.4941854358974359
1,12,0.01891456410256408
1,13,-0.3156854358974359
1,14,0.565614564102564
1,15,-0.5041854358974359
1,16,0.23551456410256408
1,17,-0.08518543589743591
1,18,-0.31398543589743594
1,19,0.06301456410256409
1,20,-0.3102854358974359
1,21,0.19621456410256408
1,22,-0.4226854358974359
1,23,0.1106145641025641
1,24,-0.06378543589743592
1,25,-0.07918543589743592
