0;1';60;
1;10;86;
2;10Me;89,87,88;
3;11;90;
4;12Me;91,92,93;
5;13;94;
6;15;101,102,103;
7;18;106,107;
8;19;109,108;
9;19a;109,108;
10;19b;109,108;
11;2;95;
12;20;110,111;
13;21;113;
14;25;117;
15;17;105,104;
16;17;105;
17;17;104;
18;5';61;
19;4;58;
20;4'ax;63,62;  # 63 in frame 0
21;4'eq;63,62;  # 62 in frame 0
22;4Me;121,122,123;
23;5;59;
24;6Me;81,82,80;
25;6OMe;77,78,79;
26;7a;84;
27;7b;83;
28;7a;83;
29;7b;84;
30;8;85;
31;8Me;118,119,120;
