#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    38930    0.973    1.738    0.529      562    2.457
       1      792    0.020    1.089    0.393    28094    2.497
       2      144    0.004    1.589    0.435    12057    2.374
       3      129    0.003    1.544    0.420     6767    2.292
       4        6    0.000    1.437    0.321     8101    2.328
