,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
32,33,23,32,3.11,0.97,3.3e-05,0.99,2.61,[70],"[73, 74, 75]",4.0,2.788163284509537,2.7908607440435738,2.7925249010207445,2.7895937486670634,2.7882562052746684,2.779706792142471
33,34,24,32,1.39,0.97,2e-06,0.99,4.14,[66],"[73, 74, 75]",5.0,4.774337752829792,4.776615110131516,4.777702863235536,4.777955127829311,4.778010761464308,4.7615570349533725
34,35,25,32,5.08,0.97,1.8e-06,0.99,4.25,[60],"[73, 74, 75]",6.0,5.290630432221023,5.284869940822103,5.2855855753637035,5.294080949822747,5.289993061857069,5.298712699467235
35,36,18,33,6.95,0.61,5.8e-06,0.99,3.48,[90],"[64, 65, 63]",9.0,4.294677270735695,4.269528875504528,4.267690675052729,4.298975871057565,4.263604400570457,4.38133626418843
36,37,20,33,2.39,0.61,7e-07,0.99,4.96,[86],"[64, 65, 63]",7.0,5.264657299725828,5.309529431938227,5.323575233684359,5.3082091344178135,5.298857633435054,5.106677538410999
37,38,22,33,1.87,0.61,6.67e-05,0.99,2.32,[76],"[64, 65, 63]",5.0,2.601693491697581,2.6005789277056723,2.6066328528012903,2.597430884772625,2.6000333385307908,2.60386035056936
38,39,23,33,3.11,0.61,3.21e-05,0.99,2.62,[70],"[64, 65, 63]",4.0,3.0399212399977733,3.0396485610749484,3.045957008232088,3.0425806174913332,3.0457670441685853,3.0259689460379615
39,40,25,33,5.08,0.61,7.4e-06,0.99,3.34,[60],"[64, 65, 63]",4.0,3.9489380873109297,3.9478432832269834,3.9481329931617344,3.9489322958759794,3.949090460894578,3.9506957969794785
40,41,26,33,1.21,0.61,7.47e-05,0.99,2.27,[51],"[64, 65, 63]",5.0,2.695297602209731,2.70089491073875,2.701054176153224,2.693621858316246,2.699760745692546,2.681518907275815
41,42,27,33,3.46,0.61,5.2e-06,0.98,3.54,[45],"[64, 65, 63]",6.0,4.407506815994077,4.3871808548124545,4.393563795084674,4.373256051489507,4.348776024555025,4.5548464640324475
42,43,23,36,3.11,2.1,4.7e-06,0.99,3.61,[70],"[56, 57, 58]",7.0,4.106954652332294,4.126447885815297,4.130482771430146,4.109263018986952,4.12211213614442,4.050290485924
43,44,25,36,5.08,2.1,2.5e-06,0.98,4.0,[60],"[56, 57, 58]",5.0,4.486545563062391,4.4814601465977075,4.4875012474500275,4.486799726332528,4.4881322911556545,4.488861542994739
44,45,27,36,3.46,2.1,9.1e-06,0.99,3.23,[45],"[56, 57, 58]",7.0,3.630370713457544,3.6028691252628287,3.601714745109743,3.61201147460159,3.617673567474889,3.728230970321093
45,46,29,36,6.36,2.1,1e-06,0.99,4.68,[36],"[56, 57, 58]",9.0,4.936825544730021,4.8934676704733855,4.889068307183878,4.922207557968479,4.930478205672786,5.062607534292547
46,47,25,37,5.08,3.04,5.2e-06,0.98,3.54,[60],"[42, 43, 44]",6.0,3.376764897951161,3.3282334594638447,3.347315891275988,3.359547475141977,3.3851054571910133,3.4771286994261708
47,48,26,37,1.21,3.04,1.2e-06,0.98,4.56,[51],"[42, 43, 44]",5.0,4.3551548566437575,4.754228897064662,4.8190307979797495,4.560097535930066,4.472554621891824,3.803773696484249
48,49,27,37,3.46,3.04,5.47e-05,0.99,2.39,[45],"[42, 43, 44]",4.0,2.6618361553721455,2.660184857408219,2.6617883014613635,2.661299242823729,2.6592899307387654,2.6666614319325848
49,50,28,37,5.13,3.04,8.9e-06,0.98,3.24,[38],"[42, 43, 44]",5.0,3.4907842930607225,3.4899708698576344,3.4662341171276534,3.49169262551714,3.4777055419233642,3.5306554287551464
50,51,29,37,6.36,3.04,1.22e-05,0.99,3.07,[36],"[42, 43, 44]",6.0,3.796069864622816,3.8267464551829633,3.8429241023603344,3.7957719117827144,3.813154198230925,3.7117851541276843
