,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,NHCH,21,24,7.61,4.54,4.7549e-05,0.99,2.47,[48],[49],4.0,2.5096362849768927,2.5566528759769342,2.5331701314292654,2.4817887234011233,2.484346632519989,2.498129438890019,extracyclic
1,2,NHCH,21,15',7.61,4.51,3.114e-05,0.99,2.65,[48],[45],4.0,2.747493491422195,2.7131928213899332,2.738905703313603,2.757936957997315,2.7463751530818015,2.784526972400629,mixed
2,3,NHCH,21,16,7.61,4.88,1.1052e-05,0.99,3.15,[48],[47],3.0,2.95029146701707,2.9440277910328656,2.947191830402716,2.9523783910097317,2.951356161639529,2.956615068749722,mixed
3,4,NHCH,12,11,7.27,4.69,2.3529e-05,0.99,2.78,[59],[36],3.0,2.4034568359539903,2.4059844062598224,2.398151197981385,2.391588614598927,2.367570393918462,2.4606820531488647,macrocycle
4,5,NHCH,12,16,7.27,4.69,2.8539e-05,0.99,2.69,[59],[47],4.0,2.769781133835492,2.7497525697094676,2.79071992232796,2.794248998513843,2.8572464260192816,2.6790316419489097,macrocycle
5,6,NHCH,12,15'',7.27,4.88,1.0221e-05,0.99,3.19,[59],[46],5.0,3.5388311682706686,3.719647733791872,3.55197674764468,3.56820541752032,3.62295847743473,3.3224041244268703,macrocycle
6,7,CHCH,16,15',4.88,4.51,1.7588e-05,0.95,2.91,[47],[45],3.0,2.5560238303988787,2.5597340136670335,2.550011226378447,2.5470699707494235,2.5274091462039525,2.599730673807032,macrocycle
