,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
32,33,23,32,3.11,0.97,3.3e-05,0.99,2.61,[93],"[96, 97, 98]",4.0,2.7160351327070553,2.7511814076889345,2.680169647373791,2.742099710306717,2.673109018463294,2.740986936429989
33,34,24,32,1.39,0.97,2e-06,0.99,4.14,[89],"[96, 97, 98]",5.0,3.4200732176476416,3.1820534597756267,4.417449138543389,3.1975866933358477,3.6286702571501275,3.3951640967184797
34,35,25,32,5.08,0.97,1.8e-06,0.99,4.25,[85],"[96, 97, 98]",6.0,4.314103604397869,4.179536929669455,4.726465464260411,4.060889739199167,5.18650166943675,4.058040875879675
35,36,18,33,6.95,0.61,5.8e-06,0.99,3.48,[106],"[90, 91, 92]",9.0,3.842262309221444,3.846832377770637,3.736502654535459,4.065240208950335,3.6323489333512637,4.066942374041661
36,37,20,33,2.39,0.61,7e-07,0.99,4.96,[101],"[90, 91, 92]",7.0,4.287527344990553,4.331909388548744,4.260769805868959,4.334442772748916,4.150158937139208,4.388980801882364
37,38,22,33,1.87,0.61,6.67e-05,0.99,2.32,[95],"[90, 91, 92]",5.0,2.6353720259137106,2.6760569079450267,2.6162337206028314,2.679508477888442,2.5829200046962764,2.6311048367928977
38,39,23,33,3.11,0.61,3.21e-05,0.99,2.62,[93],"[90, 91, 92]",4.0,2.8941251710996942,2.821524634069763,3.058764306386723,2.9078843152376854,2.8878289777644057,2.834629443845518
39,40,25,33,5.08,0.61,7.4e-06,0.99,3.34,[85],"[90, 91, 92]",4.0,3.47265346049507,3.495074511980922,3.705524311920409,3.395473242736174,3.2121997571506293,3.761028924624407
40,41,26,33,1.21,0.61,7.47e-05,0.99,2.27,[81],"[90, 91, 92]",5.0,2.7920523026622748,2.896045853123612,2.657743883242247,2.7786124047360645,2.739338153368638,2.9614533259240474
41,42,27,33,3.46,0.61,5.2e-06,0.98,3.54,[77],"[90, 91, 92]",6.0,4.107400842520362,4.051834868957089,4.258391914537635,3.9765718344303886,4.165017516784372,4.124476780443454
42,43,23,36,3.11,2.1,4.7e-06,0.99,3.61,[93],"[88, 86, 87]",7.0,4.120309133770147,4.230613522330458,3.9735787828803963,4.17466222053171,4.049760711058329,4.217078941643007
43,44,25,36,5.08,2.1,2.5e-06,0.98,4.0,[85],"[88, 86, 87]",5.0,4.4656208029045,4.467400068592516,4.458022742978532,4.4636616922834,4.475218302320646,4.4639261874129
44,45,27,36,3.46,2.1,9.1e-06,0.99,3.23,[77],"[88, 86, 87]",7.0,4.033858414611121,4.173504733614876,3.7219609781840335,4.159082329320769,4.013024946367491,4.280858713143717
45,46,29,36,6.36,2.1,1e-06,0.99,4.68,[75],"[88, 86, 87]",9.0,5.751677759574631,5.891624487021118,6.342342544791882,5.950730710451636,5.507165429359046,5.397063924970508
46,47,25,37,5.08,3.04,5.2e-06,0.98,3.54,[85],"[80, 78, 79]",6.0,3.8016751128783968,3.850263106418617,3.6382591377390012,3.921907725926492,3.743570773159112,3.9096482966177297
47,48,26,37,1.21,3.04,1.2e-06,0.98,4.56,[81],"[80, 78, 79]",5.0,4.451645316653635,4.546031846362498,4.810262441889186,4.001012935851912,4.759390274236143,4.511242255548914
48,49,27,37,3.46,3.04,5.47e-05,0.99,2.39,[77],"[80, 78, 79]",4.0,2.6034336567790084,2.5976143975729977,2.610362438782447,2.6068201696974254,2.6020208564390086,2.600490041478025
49,50,28,37,5.13,3.04,8.9e-06,0.98,3.24,[76],"[80, 78, 79]",5.0,3.397717015624119,3.538103729061213,3.1735879849357103,3.4398503418634254,3.399075938349971,3.5388354086362135
50,51,29,37,6.36,3.04,1.22e-05,0.99,3.07,[75],"[80, 78, 79]",6.0,3.9212222384253264,3.586826465330863,4.367798030262563,4.033527209315999,4.125157600656047,3.81052208240038
