,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH,12,18,7.11,4.89,0.00032803,0.99,1.79,[17],[52],5.0,2.099324792299959,2.125761086066309,2.0934950053903387,2.0943603986421264,2.0914321719629134,2.092973561760573,mixed
1,2,CHCH2,12,25',7.11,3.21,1.76e-06,0.96,4.27,[17],[42],7.0,4.079866518787737,4.127962228505847,4.072745835902239,4.06532754515163,4.068615187924813,4.067083007014051,mixed
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[20],[57],8.0,5.00519357875328,5.036301672944409,4.9892999383571555,4.995885972594475,5.002955446304032,5.002438352149083,mixed
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[20],[58],8.0,6.476701362840144,6.5157973947215115,6.459040604408663,6.462435807001236,6.472732287002758,6.474604914953449,mixed
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[18],[57],8.0,4.060811526841147,4.098185115271658,4.041202079482461,4.049445353001261,4.061572499737468,4.055302204971594,mixed
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[18],[58],8.0,4.417472335020499,4.458097167307347,4.391421433663548,4.396108184441334,4.4301542754105885,4.413905978715207,mixed
4,5,CHCH2,15,25',7.38,3.21,1.24e-06,0.98,4.52,[20],[42],6.0,3.9513800693585677,3.898573209365405,3.9667729321879235,3.986715259346071,3.9375064379808085,3.971714461259012,mixed
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[17],[57],7.0,2.7974353829397303,2.8273566300946813,2.788750908611009,2.7858748434163405,2.794359084485636,2.792234484459004,mixed
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[17],[58],7.0,2.765495862971306,2.7910727841028287,2.748026839615945,2.748840801703098,2.776755463491657,2.7645009259548736,mixed
6,7,CHCH2,18,21'',4.89,1.36,2.166e-05,0.99,2.81,[52],[57],4.0,3.011580671634051,2.969425423532657,3.032001067053169,3.03457111609923,3.0077173779459883,3.0174686983264545,macrocycle
6,7,CHCH2,18,21'',4.89,1.36,2.166e-05,0.99,2.81,[52],[58],4.0,2.6155770190744585,2.6144067479462443,2.611080343600973,2.611264419121344,2.6246048698080275,2.6166924565710836,macrocycle
7,8,CHCH2,12,20',7.11,1.51,1.966e-05,0.98,2.85,[17],[54],6.0,4.081878758946317,4.00974112624559,4.127267094288317,4.124644051238237,4.048056950558134,4.1092397739825905,mixed
8,9,CHCH2,12,20'',7.11,1.66,1.094e-05,0.96,3.15,[17],[55],6.0,3.8730929087134274,3.275795658138648,4.256322253617748,4.252724050649325,4.257397111916868,4.262258356493631,mixed
9,10,CHCH3,12,19,7.11,1.24,5.357e-05,0.99,2.41,[17],"[49, 50, 51]",6.0,4.147423563844417,3.652065953918374,4.388759433404714,4.402915071778258,4.367234555809677,4.390473507986166,mixed
10,11,CHCH3,15,30,7.38,0.52,2.534e-05,0.99,2.74,[20],"[40, 38, 39]",8.0,2.98066390072127,3.0026666124704615,2.9743380037419307,2.9778020527092237,2.97329644023357,2.9759214370974973,mixed
11,12,NH-CH,9,11,9.92,7.44,2.673e-05,0.99,2.71,[13],[18],4.0,2.8876192040759294,2.815182337393164,2.871359088062861,2.9261067212538725,2.943231459713462,2.8947104661206713,extracyclic
12,13,NH-CH,9,12,9.92,7.11,1.86e-06,0.96,4.23,[13],[17],5.0,5.073378652536703,5.023292311721564,5.061815283560152,5.097304839840944,5.110150149573814,5.077517607498296,extracyclic
13,14,NH-CH,9,15,9.92,7.38,5.305e-05,0.99,2.42,[13],[20],4.0,2.529244893320239,2.5707882653462635,2.5362126284902082,2.5086071267805754,2.5077653918424687,2.5264714541347817,extracyclic
14,15,NH-CH3,9,30,9.92,0.52,2.05e-06,0.99,4.16,[13],"[40, 38, 39]",10.0,4.425414213833626,4.481533776116289,4.445334318913671,4.416930769941174,4.375628450663711,4.4125720920009694,mixed
15,16,CHCH2,15,6,7.38,2.55,1.3e-06,0.99,4.49,[20],"[8, 9]",6.0,4.7020387610818375,4.654435603646768,4.707014910902362,4.733895612188894,4.71315525120002,4.704281286380155,extracyclic
16,17,CH2CH,31'',26,2.91,1.88,6.103e-05,0.99,2.36,[69],[41],4.0,2.866265105344039,2.7834198690380028,2.9096009274915784,2.9249344999213154,2.880117068281904,2.8491087597206266,mixed
17,18,CH2CH,31',26,2.76,1.88,1.38e-05,0.97,3.03,[70],[41],4.0,3.6280611702982783,3.5661983851456243,3.651387927689627,3.6737571584133772,3.6397096104976168,3.6158586459578435,mixed
18,19,CH2CH2,29'',22',3.57,1.15,8.172e-05,0.99,2.25,[64],[60],3.0,2.8858403864289066,2.9259564969833414,2.9103314017293025,2.914604771285612,2.826553977457586,2.8606229110045733,macrocycle
18,19,CH2CH2,29'',22',3.57,1.15,8.172e-05,0.99,2.25,[64],[61],3.0,2.48111664412027,2.485171545656142,2.4784502619601096,2.4791982635806113,2.481748628739098,2.481053443127421,macrocycle
19,20,CH2CH2,29'',20'',3.57,1.66,2.479e-05,0.95,2.75,[64],[55],5.0,2.3186307544674323,2.2942630513029023,2.305460579881083,2.3094153588891135,2.3547820741418497,2.332739409170927,macrocycle
20,21,CH2CH2,29'',31',3.57,2.76,1.481e-05,0.98,2.99,[64],[70],5.0,3.2224506221601423,3.3863166594028056,3.2786070567773633,3.252608037170184,3.0720500913296576,3.1823168768345904,mixed
21,22,CH2CH2,29',20'',3.27,1.66,0.0001121,0.99,2.13,[63],[55],5.0,3.9023404757918123,3.8697459940932966,3.8917183417390633,3.893150598288897,3.9411944594734463,3.9185989390616767,macrocycle
22,23,CH2CH2,29',22',3.27,1.15,7.72e-05,0.99,2.27,[63],[60],3.0,2.4636282327640853,2.463790376848679,2.463302863887382,2.4600132201854876,2.4663190994139574,2.464746461062626,macrocycle
22,23,CH2CH2,29',22',3.27,1.15,7.72e-05,0.99,2.27,[63],[61],3.0,2.51345643174606,2.493228079556356,2.5057882014398114,2.5058114714546575,2.5393692848460243,2.524922760192876,macrocycle
23,24,CH2CH2,25',21'',3.21,1.36,2.879e-05,0.97,2.68,[42],[57],8.0,2.2169667434377653,2.2398299254363567,2.2177411567023184,2.21552901625533,2.2049377314898218,2.207964296448907,macrocycle
23,24,CH2CH2,25',21'',3.21,1.36,2.879e-05,0.97,2.68,[42],[58],8.0,3.7987813992172343,3.8583872560763095,3.8115050164694457,3.8040701861522175,3.746069299795547,3.7801710060926803,macrocycle
24,25,CH2CH2,25'',20'',3.21,1.66,5.752e-05,0.99,2.39,[43],[55],9.0,2.4316821736104806,2.455406272087662,2.4254807480726996,2.42680554633501,2.4277673920214635,2.423939709620278,macrocycle
25,26,CH2CH2,20'',21'',1.66,1.36,6.459e-05,0.99,2.34,[55],[57],3.0,2.584581859673034,2.5923841012213282,2.581785523242519,2.578333608565002,2.5878721143335293,2.582698979093647,macrocycle
25,26,CH2CH2,20'',21'',1.66,1.36,6.459e-05,0.99,2.34,[55],[58],3.0,3.069061387333218,3.06404679851597,3.070106829695949,3.0711450088457477,3.0699042749226333,3.070141152450647,macrocycle
26,27,CH2CH3,29'',33,3.57,2.65,7.15e-06,0.98,3.38,[64],"[73, 74, 75]",7.0,4.271303223388348,4.042689793641544,4.487594709099038,4.385417647784497,4.322140177188317,4.216666967829595,mixed
27,28,CH2CH3,25',30,3.21,0.52,1.086e-05,0.96,3.15,[42],"[40, 38, 39]",4.0,2.8872659303559294,2.871459963022114,2.8873292990830137,2.886438873569662,2.8985291989109108,2.893073337901097,mixed
28,29,CH3CH,33,26,2.65,1.88,5.19e-06,0.99,3.56,"[73, 74, 75]",[41],6.0,3.466681305083317,3.40484857379191,3.6419199788674064,3.3845120447922366,3.5198948520726385,3.4253377600063075,mixed
29,30,CH2CH3,21'',30,1.36,0.52,2.18e-06,0.99,4.12,[57],"[40, 38, 39]",8.0,3.831533052852412,3.8699401217124403,3.8035486730259644,3.812964482444941,3.846035510225528,3.8277406946216823,mixed
29,30,CH2CH3,21'',30,1.36,0.52,2.18e-06,0.99,4.12,[58],"[40, 38, 39]",8.0,5.660254873158975,5.704160391619677,5.63628149390971,5.639902672061634,5.66592620898808,5.65681654101621,mixed
30,31,CH2CH3,31'',33,2.91,2.65,3.17e-05,0.97,2.64,[69],"[73, 74, 75]",4.0,2.9171820895975036,3.1547457573380044,2.811841061333731,2.866530006733679,2.8591397290758715,2.9749805055044454,extracyclic
31,32,CH2CH3,31'',30,2.91,0.52,5.861e-05,0.99,2.38,[69],"[40, 38, 39]",5.0,2.7040391365656937,2.741343163175922,2.6899367254775375,2.680092280280289,2.699680548611955,2.7120073372939837,mixed
32,33,CH2CH3,31',30,2.76,0.52,3.922e-05,0.99,2.54,[70],"[40, 38, 39]",5.0,3.1850644378215245,3.022019144785415,3.28387225973338,3.3000573739161263,3.226209072389375,3.1529733342065502,mixed
