,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,NHCH,21,24,7.61,4.54,4.7549e-05,0.99,2.47,[48],[49],4.0,2.2392618614107658,2.2330963922287723,2.253644075339826,2.232558510898496,2.2415915246159104,2.235893568441561,extracyclic
1,2,NHCH,21,15',7.61,4.51,3.114e-05,0.99,2.65,[48],[45],4.0,2.8389004773787994,2.8422253443622703,2.846564866353061,2.8435176472003714,2.866788951980399,2.798538645615759,mixed
2,3,NHCH,21,16,7.61,4.88,1.1052e-05,0.99,3.15,[48],[47],3.0,2.9399991452181933,2.944974614271853,2.9270624047972253,2.9501395516003797,2.942846166948205,2.93536056941781,mixed
3,4,NHCH,12,11,7.27,4.69,2.3529e-05,0.99,2.78,[59],[36],3.0,2.2973834545729694,2.2946875161698226,2.3161376189841083,2.292814294144772,2.2985144604232364,2.2855491218999897,macrocycle
4,5,NHCH,12,16,7.27,4.69,2.8539e-05,0.99,2.69,[59],[47],4.0,3.2723734932841713,3.2628902624117337,3.249341737844869,3.2707899659645587,3.2862738978288446,3.2939427217053936,macrocycle
5,6,NHCH,12,15'',7.27,4.88,1.0221e-05,0.99,3.19,[59],[46],5.0,2.992463002087726,2.958746031307208,2.820002035793314,3.1045153290248066,3.0379179174972304,3.114845969745031,macrocycle
6,7,CHCH,16,15',4.88,4.51,1.7588e-05,0.95,2.91,[47],[45],3.0,2.5391008199867877,2.5389089536074128,2.541079001828819,2.5406435358437545,2.5288994379072522,2.54619575687477,macrocycle
