,restraint_number,type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH3,16,23,7.29,1.79,7.17984e-05,0.99,2.47,[29],"[33, 34, 35]",5.0,2.8230741023484613,2.8234955815422587,2.8237299734282315,2.822564567341011,2.823073363120947,2.8225084983106177,mixed
1,2,CHCH2,20,9',7.21,4.36,3.22055e-05,0.96,2.83,[23],[12],6.0,2.7964080513970346,2.7977120186242708,2.797269725920432,2.796394151140205,2.79382005921763,2.7968560110214495,mixed
2,3,CHCH2,20,9'',7.21,4.45,4.90079e-05,0.98,2.64,[23],[13],6.0,2.841244251157915,2.8414142022105935,2.8436383190082157,2.840785262538694,2.8394597224780496,2.8409351365847204,mixed
3,4,CHCH3,20,11,7.21,3.13,1.11725e-06,0.97,4.95,[23],"[16, 17, 18]",6.0,4.411377843631156,4.40292642277659,4.412399049554168,4.4127671948579135,4.428033117896747,4.401124572096419,mixed
4,5,CHCH2,31,9'',6.86,4.45,3.97831e-05,0.99,2.73,[40],[13],6.0,2.7059132066049867,2.7070465772935606,2.703058046835155,2.7083457324657454,2.707621007145095,2.703525694796689,macrocycle
5,6,CHCH3,31,11,6.86,3.13,4.74948e-06,0.97,3.89,[40],"[16, 17, 18]",8.0,3.5773726876275136,3.5781607739838286,3.5740088557348146,3.5778239307549864,3.578233511430282,3.578650591848181,mixed
6,7,CHCH,31,21,6.86,5.73,0.000145559,0.99,2.2,[40],[36],5.0,2.178520781890366,2.17780763556406,2.177497382943742,2.17930054656101,2.1790223943191194,2.1789801714149464,macrocycle
7,8,CHCH3,21,23,5.73,1.79,7.97246e-05,0.98,2.43,[36],"[33, 34, 35]",3.0,2.5641379042152517,2.5637618119617,2.5655710622513386,2.564156658635935,2.563714441695656,2.5634893589667036,mixed
8,9,CHCH3,9',11,4.36,3.13,1.69377e-05,0.98,3.15,[12],"[16, 17, 18]",4.0,3.0221494748738733,3.022344726649621,3.0218932277434747,3.0204353080257644,3.0259643598780164,3.0201347874179616,mixed
