,restraint_number,type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,CHCH3,16,23,7.29,1.79,7.17984e-05,0.99,2.47,[35],"[40, 41, 42]",5.0,2.7541281477820374,2.673710099470119,2.7075581761510517,2.769075450086451,2.8053438606067744,2.83856366578953
1,2,CHCH2,20,9',7.21,4.36,3.22055e-05,0.96,2.83,[33],[31],6.0,3.3402832870838726,4.6023154519373035,3.7255964744935524,3.2789428971479544,3.126112290774689,3.0490876109504637
2,3,CHCH2,20,9'',7.21,4.45,4.90079e-05,0.98,2.64,[33],[32],6.0,3.170459872467361,4.363493678358431,3.520743691977697,3.1127672635658676,2.9698216231191044,2.8956682878234954
3,4,CHCH3,20,11,7.21,3.13,1.11725e-06,0.97,4.95,[33],"[43, 44, 45]",6.0,3.0683868933600063,2.8110554963669516,2.9085773429920536,3.11949639316426,3.3243347438810327,3.5654688424665615
4,5,CHCH2,31,9'',6.86,4.45,3.97831e-05,0.99,2.73,[30],[32],6.0,3.120097989124926,4.245020050776223,3.47944137835292,3.0578545443186704,2.9206432870563703,2.853925820543738
5,6,CHCH3,31,11,6.86,3.13,4.74948e-06,0.97,3.89,[30],"[43, 44, 45]",8.0,3.7886928920598875,3.955111625962002,3.883069433792924,3.774551807546611,3.710779696113235,3.6706592184171107
6,7,CHCH,31,21,6.86,5.73,0.000145559,0.99,2.2,[30],[36],5.0,2.090011476132726,2.094155240228667,2.091845087109738,2.089287981852218,2.088663946571498,2.086168127295869
7,8,CHCH3,21,23,5.73,1.79,7.97246e-05,0.98,2.43,[36],"[40, 41, 42]",3.0,2.5291616537781128,2.5238656582102847,2.527103666332607,2.529396246197386,2.5316857616186113,2.533840862087086
8,9,CHCH3,9',11,4.36,3.13,1.69377e-05,0.98,3.15,[31],"[43, 44, 45]",4.0,3.2186439125800326,3.829709005242517,3.465037630533561,3.17761664377949,3.049354685665913,2.994408687632468
