,restraint_number,type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH3,16,23,7.29,1.79,7.17984e-05,0.99,2.47,[35],"[40, 41, 42]",5.0,2.837708593510752,2.82644663947124,2.8397889546165485,2.8406392352540193,2.8376136136901513,2.84428148915447,mixed
1,2,CHCH2,20,9',7.21,4.36,3.22055e-05,0.96,2.83,[33],[31],6.0,2.904386705239323,2.932674204086517,2.901618812890297,2.894266099778329,2.904102100970496,2.8905787264921603,mixed
2,3,CHCH2,20,9'',7.21,4.45,4.90079e-05,0.98,2.64,[33],[32],6.0,2.9912660517583065,3.02112269484821,2.9885982004470115,2.9803162992885444,2.987116406324997,2.9804997128823634,mixed
3,4,CHCH3,20,11,7.21,3.13,1.11725e-06,0.97,4.95,[33],"[43, 44, 45]",6.0,4.109277303357255,3.844165836427652,4.166184651627869,4.277390698623153,4.127903005816969,4.240799180810851,mixed
4,5,CHCH2,31,9'',6.86,4.45,3.97831e-05,0.99,2.73,[30],[32],6.0,2.519818534919481,2.544526368528604,2.5137912817369665,2.51283458899786,2.519232417920727,2.5097948353644686,macrocycle
5,6,CHCH3,31,11,6.86,3.13,4.74948e-06,0.97,3.89,[30],"[43, 44, 45]",8.0,3.2560546855967143,3.270925391363938,3.255358399874326,3.247016198392462,3.2546058089780274,3.2527058074548902,mixed
6,7,CHCH,31,21,6.86,5.73,0.000145559,0.99,2.2,[30],[36],5.0,2.1262482143456385,2.1223958688792095,2.125916227173642,2.127780463887445,2.127300480891343,2.1278828266472516,macrocycle
7,8,CHCH3,21,23,5.73,1.79,7.97246e-05,0.98,2.43,[36],"[40, 41, 42]",3.0,2.526324146405706,2.526101743965027,2.527352896178867,2.526126259699611,2.5272867436272923,2.5247593562874284,mixed
8,9,CHCH3,9',11,4.36,3.13,1.69377e-05,0.98,3.15,[31],"[43, 44, 45]",4.0,3.187338290051259,3.211696701589813,3.181785573123813,3.1785823209256465,3.1854847935846786,3.179963242069976,mixed
