,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
23,24,CH2CH2,25',21'',3.21,1.36,2.879e-05,0.97,2.68,[54],[77],8.0,2.2426207822637765,2.257770734963573,2.239521141683081,2.232051891750074,2.2450435047485797,2.239286635923386,macrocycle
23,24,CH2CH2,25',21'',3.21,1.36,2.879e-05,0.97,2.68,[54],[78],8.0,3.7737510807096437,3.897608156749417,3.8060240362336772,3.8489087959225037,3.862390798914806,3.54002493414264,macrocycle
24,25,CH2CH2,25'',20'',3.21,1.66,5.752e-05,0.99,2.39,[55],[80],9.0,2.434750509961833,2.454769702575039,2.4223953595009915,2.4239477705527075,2.425544191518848,2.4484399183148415,macrocycle
25,26,CH2CH2,20'',21'',1.66,1.36,6.459e-05,0.99,2.34,[80],[77],3.0,2.554382127759412,2.5618742593787314,2.5516579537895363,2.5576739336015124,2.550023791500541,2.550825550929302,macrocycle
25,26,CH2CH2,20'',21'',1.66,1.36,6.459e-05,0.99,2.34,[80],[78],3.0,3.0475491974211733,3.031596846138055,3.0548825308715166,3.0548017705258608,3.052207975397643,3.044708760006392,macrocycle
26,27,CH2CH3,29'',33,3.57,2.65,7.15e-06,0.98,3.38,[73],"[64, 65, 63]",7.0,3.615903272073711,3.985244400845157,3.631826253039586,3.7276491397696274,3.554589536824961,3.3696074275197674,mixed
27,28,CH2CH3,25',30,3.21,0.52,1.086e-05,0.96,3.15,[54],"[57, 58, 59]",4.0,2.8363582559888583,2.8306757432684053,2.83651455022409,2.8396783682532534,2.840326190514512,2.8346729443997383,mixed
28,29,CH3CH,33,26,2.65,1.88,5.19e-06,0.99,3.56,"[64, 65, 63]",[56],6.0,3.291239366557972,3.1776907989085745,3.283108761671903,3.2160250842196882,3.304318614664925,3.5591495194838614,mixed
29,30,CH2CH3,21'',30,1.36,0.52,2.18e-06,0.99,4.12,[77],"[57, 58, 59]",8.0,3.8563511233195342,3.882656141611674,3.8416478943095074,3.863162487600161,3.834949797483753,3.8606347153702787,mixed
29,30,CH2CH3,21'',30,1.36,0.52,2.18e-06,0.99,4.12,[78],"[57, 58, 59]",8.0,5.676772301330764,5.705917450866322,5.6705948314036645,5.698955126390871,5.676142849527136,5.634230488481609,mixed
30,31,CH2CH3,31'',33,2.91,2.65,3.17e-05,0.97,2.64,[61],"[64, 65, 63]",4.0,3.282256007588801,3.449341269929816,3.239598808102407,3.3955128611224916,3.3403133054715264,3.081626928371359,extracyclic
31,32,CH2CH3,31'',30,2.91,0.52,5.861e-05,0.99,2.38,[61],"[57, 58, 59]",5.0,2.7352611193430447,2.6801770784778194,2.7437160298515533,2.71413343762765,2.7197720646755243,2.835230648925273,mixed
32,33,CH2CH3,31',30,2.76,0.52,3.922e-05,0.99,2.54,[62],"[57, 58, 59]",5.0,3.098060475205978,3.379495816407047,3.1311059531045653,3.1749253091029574,3.119846394069537,2.851113143697221,mixed
