,restraint_number,type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH3,16,23,7.29,1.79,7.17984e-05,0.99,2.47,[35],"[40, 41, 42]",5.0,2.8428230024866474,2.842505564822581,2.8428380130629636,2.8419650115531994,2.844594183318741,2.8422175785072463,mixed
1,2,CHCH2,20,9',7.21,4.36,3.22055e-05,0.96,2.83,[33],[31],6.0,2.9194709346791803,2.9176511709102817,2.9223585515964623,2.9105130065709552,2.92176350774512,2.925225151956247,mixed
2,3,CHCH2,20,9'',7.21,4.45,4.90079e-05,0.98,2.64,[33],[32],6.0,2.943844177797925,2.9423346378082753,2.9317104616589837,2.9512052544528817,2.9346076040410485,2.9600153203696373,mixed
3,4,CHCH3,20,11,7.21,3.13,1.11725e-06,0.97,4.95,[33],"[43, 44, 45]",6.0,4.290118739728487,4.304788171217348,4.36474018538889,4.321022431346352,4.326997021374049,4.155519070244667,mixed
4,5,CHCH2,31,9'',6.86,4.45,3.97831e-05,0.99,2.73,[30],[32],6.0,2.67147959239617,2.6674350027179816,2.725431017747501,2.62696605364485,2.7124372649188695,2.635366138147861,macrocycle
5,6,CHCH3,31,11,6.86,3.13,4.74948e-06,0.97,3.89,[30],"[43, 44, 45]",8.0,3.2529101294988743,3.2472306234717068,3.2565161024818416,3.248690642136569,3.2501233401674163,3.262157675979498,mixed
6,7,CHCH,31,21,6.86,5.73,0.000145559,0.99,2.2,[30],[36],5.0,2.1273822829410434,2.126418373200728,2.125113294157309,2.1281437779850556,2.1286590885353647,2.1285929441432163,macrocycle
7,8,CHCH3,21,23,5.73,1.79,7.97246e-05,0.98,2.43,[36],"[40, 41, 42]",3.0,2.5268226465115933,2.5264965405227287,2.5273161947724794,2.525639372956905,2.52740015743471,2.5272641247927448,mixed
8,9,CHCH3,9',11,4.36,3.13,1.69377e-05,0.98,3.15,[31],"[43, 44, 45]",4.0,3.330753628863419,3.3253073026765807,3.374219489068464,3.296833262108758,3.364034790196724,3.298799994511459,mixed
