,restraint_number,type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,CHCH3,16,23,7.29,1.79,7.17984e-05,0.99,2.47,[29],"[33, 34, 35]",5.0,2.818731196833734,2.809236598619403,2.8179128327782115,2.8235274278359683,2.8191230691870013,2.824033192826806
1,2,CHCH2,20,9',7.21,4.36,3.22055e-05,0.96,2.83,[23],[12],6.0,2.800487984475497,2.817300534120008,2.7982677174751935,2.7948585049298975,2.795369554798113,2.7970847156455276
2,3,CHCH2,20,9'',7.21,4.45,4.90079e-05,0.98,2.64,[23],[13],6.0,2.8446112913454473,2.8632507760427472,2.8405624614623823,2.83891410241004,2.842066485553562,2.8387930119634937
3,4,CHCH3,20,11,7.21,3.13,1.11725e-06,0.97,4.95,[23],"[16, 17, 18]",6.0,4.300717607943537,4.007829970141751,4.377694206316646,4.431692484892208,4.41361971161688,4.390947284649013
4,5,CHCH2,31,9'',6.86,4.45,3.97831e-05,0.99,2.73,[40],[13],6.0,2.7070667777074666,2.7233016103557044,2.708136301566621,2.700240891240042,2.70338305841476,2.7007392454518713
5,6,CHCH3,31,11,6.86,3.13,4.74948e-06,0.97,3.89,[40],"[16, 17, 18]",8.0,3.579162367166054,3.594651694590082,3.5770136604276366,3.5740848470981885,3.577130616683827,3.5732313713042045
6,7,CHCH,31,21,6.86,5.73,0.000145559,0.99,2.2,[40],[36],5.0,2.1782385751241207,2.1790183827714213,2.1794430470867927,2.1757247765065753,2.179546790365037,2.1774770459323705
7,8,CHCH3,21,23,5.73,1.79,7.97246e-05,0.98,2.43,[36],"[33, 34, 35]",3.0,2.564496437351453,2.562406866128728,2.566748471779558,2.5636244481621135,2.5659210776176877,2.5637986702410047
8,9,CHCH3,9',11,4.36,3.13,1.69377e-05,0.98,3.15,[12],"[16, 17, 18]",4.0,3.0271554422872544,3.042400973977575,3.025980811060316,3.022715205906807,3.0206255757815006,3.024402656447421
