,restraint_number,type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH3,16,23,7.29,1.79,7.17984e-05,0.99,2.47,[35],"[40, 41, 42]",5.0,2.785920878218828,2.7860780203423934,2.786994441190414,2.785789551758654,2.7858359149288536,2.7849092580278088,mixed
1,2,CHCH2,20,9',7.21,4.36,3.22055e-05,0.96,2.83,[33],[31],6.0,2.9416147965582113,2.9407798850638445,2.9414277668400186,2.9401905965367785,2.943043045070511,2.9426396499370426,mixed
2,3,CHCH2,20,9'',7.21,4.45,4.90079e-05,0.98,2.64,[33],[32],6.0,2.8552488303592853,2.856384488674137,2.853633851704627,2.8559903785453082,2.8546091090246426,2.8556324609629784,mixed
3,4,CHCH3,20,11,7.21,3.13,1.11725e-06,0.97,4.95,[33],"[43, 44, 45]",6.0,4.325723345372849,4.32411615234669,4.341424944140695,4.328594082261754,4.3178412979942875,4.3169595553338596,mixed
4,5,CHCH2,31,9'',6.86,4.45,3.97831e-05,0.99,2.73,[30],[32],6.0,2.65752980394438,2.6561035481993707,2.6573446695662897,2.6557327015016425,2.657556931907025,2.660933363255593,macrocycle
5,6,CHCH3,31,11,6.86,3.13,4.74948e-06,0.97,3.89,[30],"[43, 44, 45]",8.0,3.7457868680799935,3.7431308448848615,3.739193847502565,3.747540705651033,3.7448644427305156,3.754323253564928,mixed
6,7,CHCH,31,21,6.86,5.73,0.000145559,0.99,2.2,[30],[36],5.0,2.129473523558984,2.1309322687253713,2.1280836356314476,2.126701832461768,2.1334645914553354,2.1282332141224387,macrocycle
7,8,CHCH3,21,23,5.73,1.79,7.97246e-05,0.98,2.43,[36],"[40, 41, 42]",3.0,2.5351472397843318,2.534227889787874,2.535422381979892,2.5362448472210017,2.5350406682572646,2.5348035243521005,mixed
8,9,CHCH3,9',11,4.36,3.13,1.69377e-05,0.98,3.15,[31],"[43, 44, 45]",4.0,2.9732116101495016,2.9736180067137576,2.97397723390544,2.9758604444785974,2.9739194719874105,2.968716489348378,mixed
