,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
24,25,CH2CH2,25'',20'',3.21,1.66,5.752e-05,0.99,2.39,[55],[80],9.0,2.5005627123519956,3.121041293958829,2.4425187839728526,2.415383363795524,2.432081646352378,2.4353788434298296
25,26,CH2CH2,20'',21'',1.66,1.36,6.459e-05,0.99,2.34,[80],[77],3.0,2.5317707860767995,2.442539964973597,2.56201965854465,2.5535260834361715,2.559222943858262,2.557439591421449
25,26,CH2CH2,20'',21'',1.66,1.36,6.459e-05,0.99,2.34,[80],[78],3.0,3.032663049377857,2.9904899769301623,3.0468888234009546,3.052217872594325,3.0231002555221127,3.0540380140404464
26,27,CH2CH3,29'',33,3.57,2.65,7.15e-06,0.98,3.38,[73],"[64, 65, 63]",7.0,3.4928058678362826,3.5968332436306283,3.3620060952595106,3.679849214978269,3.4289044926177166,3.461393496200434
27,28,CH2CH3,25',30,3.21,0.52,1.086e-05,0.96,3.15,[54],"[57, 58, 59]",4.0,2.8201246646482274,2.7823527348709236,2.8131271129278854,2.8354287833768077,2.8307909042303776,2.8418194990625496
28,29,CH3CH,33,26,2.65,1.88,5.19e-06,0.99,3.56,"[64, 65, 63]",[56],6.0,3.3462884607370675,3.275137721597084,3.5857886801604826,3.2174819371714976,3.4156491977893237,3.3180701013510436
29,30,CH2CH3,21'',30,1.36,0.52,2.18e-06,0.99,4.12,[77],"[57, 58, 59]",8.0,3.9651818323978,4.893974713179576,3.8829383489973415,3.848096668889064,3.8516681736151086,3.848803318965581
29,30,CH2CH3,21'',30,1.36,0.52,2.18e-06,0.99,4.12,[78],"[57, 58, 59]",8.0,5.551941366531098,5.15346237005852,5.713839859249276,5.687176585579525,5.690453286929006,5.68570092405582
30,31,CH2CH3,31'',33,2.91,2.65,3.17e-05,0.97,2.64,[61],"[64, 65, 63]",4.0,3.3091828494570663,3.553087092551884,3.1226710614070097,3.370870918828477,3.25989295177058,3.3424924201259887
31,32,CH2CH3,31'',30,2.91,0.52,5.861e-05,0.99,2.38,[61],"[57, 58, 59]",5.0,2.746200842908803,2.7107900104917575,2.8003740499280676,2.7038611414092517,2.780042167569039,2.744940435135833
32,33,CH2CH3,31',30,2.76,0.52,3.922e-05,0.99,2.54,[62],"[57, 58, 59]",5.0,3.064785335432819,3.321304648148965,2.908985894218381,3.203761180373954,2.9715160562034004,3.042411426823974
