,restraint_number,proton_a,proton_b,distance_ab,upper_lower_bound_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
30,31,Tether4 HBa,Tether4 HE*,2.4,0.4,[32],"[56, 57, 58]",4.0,2.776729693935112,2.7818073562268664,2.780830045009386,2.7780952873281546,2.769815177395238,2.7732325349988325,mixed
31,32,Tether4 HGa,Tether4 HGb,1.8,0.3,[35],[34],2.0,1.7236340481026762,1.7229639258985157,1.7227337133248322,1.723767711828539,1.7239802959798403,1.7247298684311299,macrocycle
32,33,Tether4 HDa,Tether4 HDb,1.7,0.3,[36],[37],2.0,1.7614076847674498,1.761460983626741,1.762221970244797,1.7610279820841133,1.7611419175665333,1.7611874153623859,macrocycle
33,34,Ala1 HN,Nleu2 HBa,4.0,0.6,[38],[59],6.0,3.5332865567021816,3.540674723144943,3.526861323617862,3.5622240741669553,3.5496961695321154,3.490059588475895,mixed
34,35,Ala1 HN,Tether4 HA,3.9,0.6,[38],[55],7.0,3.2878424494627834,3.282420937517915,3.291249566337615,3.319422474174015,3.295584101367584,3.253006589548934,macrocycle
35,36,Ala1 HN,Tether4 HGa,3.6,0.5,[38],[35],5.0,2.7319041958082577,2.781455176948505,2.717534935405822,2.6985668351065133,2.6646328857228885,2.816787523153871,macrocycle
36,37,Ala1 HN,Tether4 HGb,3.0,0.5,[38],[34],5.0,2.722911465340937,2.707941100929511,2.7122304922430502,2.7463480034543526,2.741637259672407,2.7082538969792296,macrocycle
37,38,Ala1 HN,Tether4 HDa,2.3,0.3,[38],[36],4.0,2.2544628506110573,2.250151418348949,2.255235033424397,2.2606943041291205,2.2593069542558157,2.24713659305504,macrocycle
38,39,Ala1 HA,Nleu2 HBa,2.0,0.3,[39],[59],5.0,2.1550872382753115,2.1682980085253853,2.149045206551394,2.15051039481903,2.1495882784146074,2.158434688515149,mixed
39,40,Ala1 HA,Nleu2 HBb,3.2,0.5,[39],[60],5.0,2.703559241977814,2.6375972039574687,2.725612350614454,2.69722246742657,2.7125250086117485,2.7548747430070835,mixed
40,41,Ala1 HA,Nleu2 HG,2.7,0.4,[39],[61],6.0,2.719751661254045,2.7563637120587248,2.692395923106246,2.73417565359718,2.763672991504256,2.66199566629811,mixed
41,42,Ala1 HA,Nleu2 HDa*,3.6,0.5,[39],"[65, 66, 67]",7.0,3.3696692229176457,3.3127537729085277,3.426149072766381,3.348773756100576,3.376025303453214,3.3923654823867904,mixed
42,43,Ala1 HA,Nleu2 HDb*,2.6,0.4,[39],"[64, 62, 63]",7.0,2.914525419172861,2.91791294566641,2.910262269715387,2.9151244812295958,2.8960541840470624,2.9341818131974056,mixed
43,44,Nleu2 HAa,Phe3 HN,2.5,0.4,[43],[45],4.0,2.3858724900293242,2.384373100920066,2.3858586459704143,2.401441376619239,2.3774414545039515,2.3807447177345225,macrocycle
44,45,Nleu2 HAb,Phe3 HN,4.4,0.7,[44],[45],4.0,3.5077196739260663,3.5073761712920524,3.508885191248234,3.511306071228004,3.505978601205306,3.5050766187575273,macrocycle
45,46,Nleu2 HBa,Phe3 HN,4.8,0.7,[59],[45],6.0,4.32319275715766,4.367819593109633,4.39061813029298,4.208484122609294,4.321106174819938,4.3448701633091735,mixed
46,47,Phe3 HN,Tether4 HN,3.8,0.6,[45],[54],5.0,3.158103916692054,3.298933475291739,3.315710694540319,2.9056544912190923,3.153784071076248,3.2597359223303584,macrocycle
47,48,Phe3 HA,Tether4 HN,2.2,0.3,[46],[54],4.0,2.348825624848048,2.3439825366352554,2.3503253033297207,2.37319693386355,2.34984153220208,2.328324155908026,macrocycle
48,49,Phe3 HD*,Tether4 HN,3.8,0.6,"[49, 52]",[54],7.0,3.566424648479108,3.5396482455314837,3.545922367630046,3.5827532660954726,3.633136712601242,3.5370805316677814,mixed
49,50,Phe3 HD*,Tether4 HA,4.0,0.6,"[49, 52]",[55],8.0,4.407320520650181,4.420934000607214,4.38619345527662,4.375448711301167,4.466112702607134,4.392077628416987,mixed
50,51,Phe3 HD*,Tether4 HE*,3.9,0.6,"[49, 52]","[56, 57, 58]",9.0,4.256854949922839,4.206608185472198,4.220905217128211,4.29870550031049,4.3396376911358,4.229052663707427,mixed
51,52,Phe3 HE*,Tether4 HN,4.7,0.7,"[50, 53]",[54],8.0,4.514872556358476,4.4665051701788885,4.479408187779418,4.539021374893619,4.6101602329868445,4.489733871383698,mixed
52,53,Phe3 HE*,Tether4 HE*,3.8,0.6,"[50, 53]","[56, 57, 58]",10.0,4.142625514110719,4.093785621129331,4.102719491597336,4.184249992596411,4.242136124255518,4.104256166837613,mixed
53,54,Ala1 HN,Phe3 HN,3.5,0.5,[38],[45],8.0,3.295636701886377,3.276477292872784,3.273441347657438,3.316577368108806,3.3231992200605367,3.290690127851355,macrocycle
54,55,Ala1 HB*,Phe3 HN,4.6,0.7,"[40, 41, 42]",[45],8.0,4.7342731985777435,4.728051348598499,4.72343085580667,4.757904628773082,4.741424737935265,4.72124212509805,mixed
55,56,Nleu2 HBa,Tether4 HGa,4.2,0.6,[59],[35],9.0,3.857753009380964,3.8735790725936106,3.8385556611024034,3.8951803941224177,3.8688654323024037,3.81611718504673,mixed
56,57,Nleu2 HBa,Tether4 HGb,3.5,0.5,[59],[34],9.0,3.220168136485296,3.234338811803929,3.2003182669583436,3.2571781781750624,3.2543686114452566,3.161850882913913,mixed
