,restraint_number,type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH3,16,23,7.29,1.79,7.17984e-05,0.99,2.47,[35],"[40, 41, 42]",5.0,2.8827254004705787,2.886072947710931,2.8743989925778295,2.8841323268273578,2.8848528720827926,2.8842790649802685,mixed
1,2,CHCH2,20,9',7.21,4.36,3.22055e-05,0.96,2.83,[33],[32],6.0,2.82823110046226,2.826231642198112,2.8433838942311103,2.823797170654481,2.8257500838712195,2.822352866770634,mixed
2,3,CHCH2,20,9'',7.21,4.45,4.90079e-05,0.98,2.64,[33],[31],6.0,2.9253201204219725,2.9269316696731185,2.92158630933883,2.9240840526098792,2.925514937468292,2.928517544660232,mixed
3,4,CHCH3,20,11,7.21,3.13,1.11725e-06,0.97,4.95,[33],"[43, 44, 45]",6.0,4.332684547734265,4.422583070909622,4.1919703040319,4.333923742039979,4.39799844235424,4.344035976594164,mixed
4,5,CHCH2,31,9'',6.86,4.45,3.97831e-05,0.99,2.73,[30],[31],6.0,3.414578805348587,3.4707398137734295,3.320348373145902,3.3837967698670246,3.472682809678045,3.4433732998595024,macrocycle
5,6,CHCH3,31,11,6.86,3.13,4.74948e-06,0.97,3.89,[30],"[43, 44, 45]",8.0,3.622395257390922,3.616778383951569,3.6311491386366237,3.6201382508128837,3.621267714815308,3.6227532585054876,mixed
6,7,CHCH,31,21,6.86,5.73,0.000145559,0.99,2.2,[30],[36],5.0,2.086719677974281,2.0846559292400637,2.0845530591655606,2.088453010159353,2.089154054273739,2.0868123464202473,macrocycle
7,8,CHCH3,21,23,5.73,1.79,7.97246e-05,0.98,2.43,[36],"[40, 41, 42]",3.0,2.5338837487607475,2.534651447066347,2.533848742422899,2.5325878141998936,2.5350539967115266,2.5332822707977245,mixed
8,9,CHCH3,9',11,4.36,3.13,1.69377e-05,0.98,3.15,[32],"[43, 44, 45]",4.0,3.4694825239035207,3.523141233522428,3.376116518969318,3.459078220205905,3.520549801271101,3.483621447774295,mixed
