0;1';83;
1;1'';91;
2;1''';118;
3;2';84;
4;3';85;
5;4';86;
6;5';87;
7;10;68;
8;11;67;
9;12;66;
10;13;65;
11;14A;63,64;  # ???
12;14B;63,64;  # ???
13;15;62;
14;16;59,60,61;
15;18A;112,113;  # ???
16;19;114;
17;20;115,116,117;
18;2B;77,78;  # ???
19;3;76;
20;3'''A;121,122;  # ???
21;3'''B;121,122;  # ???
22;4;75;
23;5;74;
24;6;73;
25;7A;72;
26;7A;71;
27;7B;72;
28;7B;71;
29;8;70;
30;9;69;
