1';83;
1'';91;
1''';117;
2';84;
3';85;
4';86;
5';87;
10;68;
11;67;
12;66;
13;65;
14A;63,64;  # ???
14B;63,64;  # ???
15;62;
16;59,60,61;
18A;111,112;  # ???
19;113;
20;114,115,116;
2B;77,78;  # ???
3;76;
3'''A;120,121;  # ???
3'''B;120,121;  # ???
4;75;
5;74;
6;73;
7A;71;
7A;72;
7B;71;
7B;72;
8;70;
9;69;
